month,product,category,quantity,price,total,region,salesperson,returned
Mar,monitor,Electronics,6,965.61,5793.66,West,Rahul,0
Jun,monitor,Electronics,8,793.21,6345.68,South,Nikita,0
Feb,Charger,Accessories,9,578.89,5210.01,West,Sofia,0
Mar,Charger,Accessories,5,794.25,3971.25,North,Rahul,0
Mar,Charger,Accessories,3,925.68,2777.04,North,Liam,0
Feb,keyboard,Accessories,1,839.52,839.52,North,Aisha,0
May,laptop,Electronics,2,786.2,1572.4,West,Sofia,0
May,monitor,Electronics,5,539.3,2696.5,South,Rahul,0
Feb,Charger,Accessories,9,871.39,7842.51,South,Liam,0
Mar,laptop,Electronics,3,720.11,2160.33,North,Sofia,1
Apr,laptop,Electronics,8,630.38,5043.04,,Liam,1
Jan,monitor,Electronics,8,741.53,5932.24,South,Liam,0
Mar,laptop,Electronics,7,736.12,5152.84,North,Rahul,0
Feb,Phone,Electronics,2,756.97,1513.94,East,Rahul,0
May,keyboard,Accessories,2,529.64,1059.28,East,Rahul,0
Jan,monitor,Electronics,4,758.03,3032.12,West,Nikita,0
Mar,monitor,Electronics,2,552.25,1104.5,East,Nikita,0
May,laptop,Electronics,1,577.44,577.44,West,Nikita,0
Jan,laptop,Electronics,6,668.2,4009.2,South,Aisha,1
Jun,Headphones,Audio,4,627.76,2511.04,East,Liam,0
Apr,Phone,Electronics,10,580.26,5802.6,South,Aisha,0
Apr,keyboard,Accessories,10,893.92,8939.2,South,Liam,0
Jun,Charger,Accessories,9,608.24,5474.16,West,Aisha,0
Jun,Charger,Accessories,10,630.34,6303.4,South,Sofia,1
Jun,monitor,Electronics,7,643.87,4507.09,North,Nikita,0
Jun,Headphones,Audio,4,806.26,3225.04,South,,0
May,monitor,Electronics,10,875.54,8755.4,East,Rahul,0
Jun,monitor,Electronics,9,804.71,7242.39,North,Nikita,0
Jun,monitor,Electronics,8,936.51,7492.08,South,Aisha,1
Apr,monitor,Electronics,6,890.35,5342.1,South,Aisha,0
Apr,Phone,Electronics,2,945.53,1891.06,North,Rahul,0
May,keyboard,Accessories,4,633.86,2535.44,West,Nikita,1
Feb,laptop,Electronics,7,952.31,6666.17,West,Nikita,0
Jun,monitor,Electronics,6,689.25,4135.5,West,Nikita,1
Jun,Headphones,Audio,1,845.54,845.54,South,Rahul,0
